Date,TNX
3/12/2015,2.096
3/13/2015,2.112
3/16/2015,2.098
3/17/2015,2.058
3/18/2015,1.951
3/19/2015,1.977
3/20/2015,1.93
3/23/2015,1.915
3/24/2015,1.878
3/25/2015,1.92
3/26/2015,2.007
3/27/2015,1.948
3/30/2015,1.963
3/31/2015,1.934
4/1/2015,1.868
4/2/2015,1.904
4/6/2015,1.904
4/7/2015,1.893
4/8/2015,1.895
4/9/2015,1.958
4/10/2015,1.951
4/13/2015,1.939
4/14/2015,1.904
4/15/2015,1.9
4/16/2015,1.878
4/17/2015,1.85
4/20/2015,1.895
4/21/2015,1.916
4/22/2015,1.972
4/23/2015,1.947
4/24/2015,1.917
4/27/2015,1.924
4/28/2015,1.973
4/29/2015,2.035
4/30/2015,2.046
5/1/2015,2.117
5/4/2015,2.135
5/5/2015,2.176
5/6/2015,2.24
5/7/2015,2.184
5/8/2015,2.15
5/11/2015,2.274
5/12/2015,2.26
5/13/2015,2.282
5/14/2015,2.239
5/15/2015,2.141
5/18/2015,2.228
5/19/2015,2.262
5/20/2015,2.251
5/21/2015,2.185
5/22/2015,2.215
5/26/2015,2.137
5/27/2015,2.135
5/28/2015,2.13
5/29/2015,2.095
6/1/2015,2.192
6/2/2015,2.266
6/3/2015,2.366
6/4/2015,2.307
6/5/2015,2.402
6/8/2015,2.381
6/9/2015,2.417
6/10/2015,2.478
6/11/2015,2.383
6/12/2015,2.385
6/15/2015,2.358
6/16/2015,2.318
6/17/2015,2.306
6/18/2015,2.351
6/19/2015,2.267
6/22/2015,2.36
6/23/2015,2.409
6/24/2015,2.371
6/25/2015,2.393
6/26/2015,2.476
6/29/2015,2.331
6/30/2015,2.335
7/1/2015,2.418
7/2/2015,2.393
7/6/2015,2.278
7/7/2015,2.231
7/8/2015,2.206
7/9/2015,2.301
7/10/2015,2.417
7/13/2015,2.43
7/14/2015,2.399
7/15/2015,2.35
7/16/2015,2.352
7/17/2015,2.349
7/20/2015,2.372
7/21/2015,2.34
7/22/2015,2.322
7/23/2015,2.277
7/24/2015,2.271
7/27/2015,2.228
7/28/2015,2.25
7/29/2015,2.279
7/30/2015,2.268
7/31/2015,2.205
8/3/2015,2.15
8/4/2015,2.211
8/5/2015,2.268
8/6/2015,2.234
8/7/2015,2.175
8/10/2015,2.238
8/11/2015,2.137
8/12/2015,2.13
8/13/2015,2.189
8/14/2015,2.196
8/17/2015,2.15
8/18/2015,2.196
8/19/2015,2.129
8/20/2015,2.084
8/21/2015,2.054
8/24/2015,1.997
8/25/2015,2.133
8/26/2015,2.172
8/27/2015,2.168
8/28/2015,2.186
8/31/2015,2.2
9/1/2015,2.172
9/2/2015,2.193
9/3/2015,2.168
9/4/2015,2.128
9/8/2015,2.194
9/9/2015,2.181
9/10/2015,2.222
9/11/2015,2.183
9/14/2015,2.18
9/15/2015,2.281
9/16/2015,2.303
9/17/2015,2.217
9/18/2015,2.13
9/21/2015,2.214
9/22/2015,2.125
9/23/2015,2.144
9/24/2015,2.12
9/25/2015,2.168
9/28/2015,2.095
9/29/2015,2.054
9/30/2015,2.06
10/1/2015,2.042
10/2/2015,1.989
10/5/2015,2.056
10/6/2015,2.035
10/7/2015,2.062
10/8/2015,2.108
10/9/2015,2.099
10/12/2015,2.09
10/13/2015,2.055
10/14/2015,1.981
10/15/2015,2.023
10/16/2015,2.023
10/19/2015,2.028
10/20/2015,2.071
10/21/2015,2.03
10/22/2015,2.025
10/23/2015,2.083
10/26/2015,2.058
10/27/2015,2.028
10/28/2015,2.092
10/29/2015,2.173
10/30/2015,2.151
11/2/2015,2.187
11/3/2015,2.22
11/4/2015,2.23
11/5/2015,2.245
11/6/2015,2.333
11/9/2015,2.342
11/10/2015,2.322
11/11/2015,2.338
11/12/2015,2.319
11/13/2015,2.28
11/16/2015,2.273
11/17/2015,2.261
11/18/2015,2.269
11/19/2015,2.248
11/20/2015,2.262
11/23/2015,2.25
11/24/2015,2.243
11/25/2015,2.232
11/27/2015,2.225
11/30/2015,2.218
12/1/2015,2.155
12/2/2015,2.178
12/3/2015,2.33
12/4/2015,2.275
12/7/2015,2.225
12/8/2015,2.238
12/9/2015,2.208
12/10/2015,2.239
12/11/2015,2.139
12/14/2015,2.225
12/15/2015,2.268
12/16/2015,2.287
12/17/2015,2.238
12/18/2015,2.199
12/21/2015,2.197
12/22/2015,2.239
12/23/2015,2.264
12/24/2015,2.243
12/28/2015,2.225
12/29/2015,2.307
12/30/2015,2.303
12/31/2015,2.269
1/4/2016,2.245
1/5/2016,2.248
1/6/2016,2.177
1/7/2016,2.153
1/8/2016,2.13
1/11/2016,2.158
1/12/2016,2.102
1/13/2016,2.066
1/14/2016,2.098
1/15/2016,2.033
1/19/2016,2.035
1/20/2016,1.984
1/21/2016,2.019
1/22/2016,2.048
1/25/2016,2.022
1/26/2016,1.994
1/27/2016,2.001
1/28/2016,1.985
1/29/2016,1.931
2/1/2016,1.966
2/2/2016,1.864
2/3/2016,1.881
2/4/2016,1.864
2/5/2016,1.848
2/8/2016,1.735
2/9/2016,1.729
2/10/2016,1.705
2/11/2016,1.644
2/12/2016,1.748
2/16/2016,1.778
2/17/2016,1.819
2/18/2016,1.759
2/19/2016,1.748
2/22/2016,1.766
2/23/2016,1.745
2/24/2016,1.742
2/25/2016,1.697
2/26/2016,1.762
2/29/2016,1.74
3/1/2016,1.834
3/2/2016,1.848
3/3/2016,1.83
3/4/2016,1.883
3/7/2016,1.902
3/8/2016,1.832
3/9/2016,1.892
3/10/2016,1.929
3/11/2016,1.977
3/14/2016,1.963
3/15/2016,1.959
3/16/2016,1.938
3/17/2016,1.903
3/18/2016,1.871
3/21/2016,1.923
3/22/2016,1.935
3/23/2016,1.875
3/24/2016,1.9
3/28/2016,1.87
3/29/2016,1.814
3/30/2016,1.83
3/31/2016,1.786
4/1/2016,1.792
4/4/2016,1.779
4/5/2016,1.727
4/6/2016,1.755
4/7/2016,1.691
4/8/2016,1.72
4/11/2016,1.724
4/12/2016,1.781
4/13/2016,1.762
4/14/2016,1.781
4/15/2016,1.752
4/18/2016,1.773
4/19/2016,1.783
4/20/2016,1.854
4/21/2016,1.87
4/22/2016,1.888
4/25/2016,1.902
4/26/2016,1.931
4/27/2016,1.86
4/28/2016,1.838
4/29/2016,1.819
5/2/2016,1.865
5/3/2016,1.8
5/4/2016,1.784
5/5/2016,1.747
5/6/2016,1.779
5/9/2016,1.76
5/10/2016,1.76
5/11/2016,1.737
5/12/2016,1.757
5/13/2016,1.705
5/16/2016,1.753
5/17/2016,1.759
5/18/2016,1.88
5/19/2016,1.845
5/20/2016,1.849
5/23/2016,1.838
5/24/2016,1.859
5/25/2016,1.87
5/26/2016,1.823
5/27/2016,1.851
5/31/2016,1.834
6/1/2016,1.846
6/2/2016,1.811
6/3/2016,1.704
6/6/2016,1.723
6/7/2016,1.713
6/8/2016,1.706
6/9/2016,1.68
6/10/2016,1.639
6/13/2016,1.616
6/14/2016,1.611
6/15/2016,1.596
6/16/2016,1.564
6/17/2016,1.618
6/20/2016,1.67
6/21/2016,1.697
6/22/2016,1.685
6/23/2016,1.739
6/24/2016,1.579
6/27/2016,1.46
6/28/2016,1.461
6/29/2016,1.477
6/30/2016,1.488
7/1/2016,1.456
7/5/2016,1.367
7/6/2016,1.385
7/7/2016,1.387
7/8/2016,1.366
7/11/2016,1.434
7/12/2016,1.513
7/13/2016,1.468
7/14/2016,1.531
7/15/2016,1.594
7/18/2016,1.587
7/19/2016,1.558
7/20/2016,1.58
7/21/2016,1.565
7/22/2016,1.57
7/25/2016,1.571
7/26/2016,1.563
7/27/2016,1.515
7/28/2016,1.511
7/29/2016,1.458
8/1/2016,1.496
8/2/2016,1.537
8/3/2016,1.542
8/4/2016,1.503
8/5/2016,1.582
8/8/2016,1.583
8/9/2016,1.545
8/10/2016,1.509
8/11/2016,1.573
8/12/2016,1.515
8/15/2016,1.553
8/16/2016,1.576
8/17/2016,1.561
8/18/2016,1.536
8/19/2016,1.578
8/22/2016,1.539
8/23/2016,1.553
8/24/2016,1.559
8/25/2016,1.577
8/26/2016,1.635
8/29/2016,1.566
8/30/2016,1.57
8/31/2016,1.568
9/1/2016,1.57
9/2/2016,1.596
9/6/2016,1.543
9/7/2016,1.541
9/8/2016,1.616
9/9/2016,1.672
9/12/2016,1.672
9/13/2016,1.734
9/14/2016,1.689
9/15/2016,1.703
9/16/2016,1.701
9/19/2016,1.696
9/20/2016,1.688
9/21/2016,1.668
9/22/2016,1.632
9/23/2016,1.615
9/26/2016,1.589
9/27/2016,1.556
9/28/2016,1.567
9/29/2016,1.557
9/30/2016,1.608
10/3/2016,1.622
10/4/2016,1.683
10/5/2016,1.716
10/6/2016,1.742
10/7/2016,1.736
10/10/2016,1.723
10/11/2016,1.759
10/12/2016,1.778
10/13/2016,1.738
10/14/2016,1.794
10/17/2016,1.766
10/18/2016,1.749
10/19/2016,1.752
10/20/2016,1.747
10/21/2016,1.74
10/24/2016,1.763
10/25/2016,1.758
10/26/2016,1.79
10/27/2016,1.843
10/28/2016,1.845
10/31/2016,1.834
11/1/2016,1.82
11/2/2016,1.799
11/3/2016,1.812
11/4/2016,1.783
11/7/2016,1.828
11/8/2016,1.862
11/9/2016,2.072
11/10/2016,2.117
11/11/2016,null
11/14/2016,2.222
11/15/2016,2.238
11/16/2016,2.223
11/17/2016,2.276
11/18/2016,2.335
11/21/2016,2.339
11/22/2016,2.321
11/23/2016,2.357
11/25/2016,2.372
11/28/2016,2.32
11/29/2016,2.302
11/30/2016,2.368
12/1/2016,2.441
12/2/2016,2.39
12/5/2016,2.387
12/6/2016,2.396
12/7/2016,2.347
12/8/2016,2.387
12/9/2016,2.464
12/12/2016,2.479
12/13/2016,2.481
12/14/2016,2.525
12/15/2016,2.58
12/16/2016,2.597
12/19/2016,2.542
12/20/2016,2.568
12/21/2016,2.546
12/22/2016,2.553
12/23/2016,2.543
12/27/2016,2.563
12/28/2016,2.506
12/29/2016,2.477
12/30/2016,2.446
1/3/2017,2.45
1/4/2017,2.452
1/5/2017,2.368
1/6/2017,2.418
1/9/2017,2.376
1/10/2017,2.379
1/11/2017,2.37
1/12/2017,2.361
1/13/2017,2.38
1/17/2017,2.33
1/18/2017,2.389
1/19/2017,2.459
1/20/2017,2.467
1/23/2017,2.403
1/24/2017,2.471
1/25/2017,2.523
1/26/2017,2.508
1/27/2017,2.481
1/30/2017,2.483
1/31/2017,2.451
2/1/2017,2.474
2/2/2017,2.47
2/3/2017,2.491
2/6/2017,2.413
2/7/2017,2.389
2/8/2017,2.351
2/9/2017,2.395
2/10/2017,2.409
2/13/2017,2.434
2/14/2017,2.47
2/15/2017,2.502
2/16/2017,2.45
2/17/2017,2.425
2/21/2017,2.427
2/22/2017,2.418
2/23/2017,2.388
2/24/2017,2.317
2/27/2017,2.369
2/28/2017,2.358
3/1/2017,2.463
3/2/2017,2.489
3/3/2017,2.492
3/6/2017,2.494
3/7/2017,2.511
3/8/2017,2.552
3/9/2017,2.598
3/10/2017,2.582
3/13/2017,2.608
3/14/2017,2.595
3/15/2017,2.508
3/16/2017,2.522
3/17/2017,2.501
3/20/2017,2.473
3/21/2017,2.436
3/22/2017,2.396
3/23/2017,2.418
3/24/2017,2.4
3/27/2017,2.373
3/28/2017,2.409
3/29/2017,2.386
3/30/2017,2.416
3/31/2017,2.396
4/3/2017,2.35
4/4/2017,2.35
4/5/2017,2.357
4/6/2017,2.343
4/7/2017,2.373
4/10/2017,2.361
4/11/2017,2.298
4/12/2017,2.296
4/13/2017,2.232
4/17/2017,2.252
4/18/2017,2.179
4/19/2017,2.202
4/20/2017,2.241
4/21/2017,2.237
4/24/2017,2.273
4/25/2017,2.327
4/26/2017,2.311
4/27/2017,2.296
4/28/2017,2.282
5/1/2017,2.325
5/2/2017,2.296
5/3/2017,2.309
5/4/2017,2.356
5/5/2017,2.352
5/8/2017,2.376
5/9/2017,2.407
5/10/2017,2.414
5/11/2017,2.4
5/12/2017,2.335
5/15/2017,2.338
5/16/2017,2.329
5/17/2017,2.216
5/18/2017,2.233
5/19/2017,2.245
5/22/2017,2.254
5/23/2017,2.285
5/24/2017,2.266
5/25/2017,2.255
5/26/2017,2.25
5/30/2017,2.217
5/31/2017,2.196
