Date,Bullish,Neutral,Bearish,Bull-Bear Spread,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
10/6/2016,0.287946,0.433036,0.279018,0.008928,2175.300049,2144.01001,2159.72998
9/29/2016,0.24,0.388889,0.371111,-0.131111,2179.98999,2139.570068,2171.370117
9/22/2016,0.24826,0.36891,0.382831,-0.134571,2165.110107,2119.899902,2163.120117
9/15/2016,0.279379,0.361419,0.359202,-0.079823,2187.870117,2119.120117,2125.77002
9/8/2016,0.297468,0.417722,0.28481,0.012658,2187.870117,2157.090088,2186.159912
9/1/2016,0.286,0.3987,0.3152,-0.0292,2187.94,2157.09,2170.86
8/25/2016,0.294243,0.409382,0.296375,-0.002132,2193.42,2168.5,2175.44
8/18/2016,0.355649,0.380753,0.263598,0.092051,2193.81,2168.5,2182.22
8/11/2016,0.312925,0.419501,0.267574,0.045351,2187.66,2152.56,2175.49
8/4/2016,0.297872,0.434397,0.26773,0.030142,2178.29,2147.58,2163.79
7/28/2016,0.3125,0.403409,0.284091,0.028409,2175.629883,2159.070068,2166.580078
7/21/2016,0.354251,0.378543,0.267206,0.087045,2175.63,2146.21,2173.02
7/14/2016,0.368664,0.387097,0.24424,0.124424,2156.449951,2074.02002,2152.429932
7/7/2016,0.310573,0.422907,0.26652,0.044053,2108.709961,2042.689941,2099.72998
6/30/2016,0.289125,0.376658,0.334218,-0.045093,2113.32,1991.68,2070.77
6/23/2016,0.219697,0.42803,0.352273,-0.132576,2100.659912,2050.370117,2085.449951
6/16/2016,0.253472,0.371528,0.375,-0.121528,2120.550049,2064.100098,2071.5
6/9/2016,0.278317,0.443366,0.278317,0,2119.219971,2085.100098,2112.129883
6/2/2016,0.301676,0.407821,0.290503,0.011173,2103.47998,2078.929932,2099.330078
5/26/2016,0.177515,0.5286,0.293886,-0.116371,2094.72998,2025.910034,2090.540039
5/19/2016,0.193384,0.465649,0.340967,-0.147583,2083.290039,2034.48999,2047.630005
5/12/2016,0.204082,0.482993,0.312925,-0.108843,2084.870117,2039.449951,2064.459961
5/5/2016,0.223301,0.473301,0.303398,-0.080097,2099.889893,2045.550049,2051.120117
4/28/2016,0.273663,0.440329,0.286008,-0.012345,2111.050049,2077.52002,2095.149902
4/21/2016,0.334052,0.426724,0.239224,0.094828,2111.050049,2065.919922,2102.399902
4/14/2016,0.278481,0.472574,0.248945,0.029536,2083.179932,2033.800049,2082.419922
4/7/2016,0.321918,0.46347,0.214612,0.107306,2075.070068,2042.560059,2066.659912
3/31/2016,0.271805,0.470588,0.257606,0.014199,2072.209961,2022.48999,2063.949951
3/24/2016,0.337808,0.425056,0.237136,0.100672,2056.600098,2010.040039,2036.709961
3/17/2016,0.299587,0.431818,0.268595,0.030992,2032.02002,1969.25,2027.219
3/10/2016,0.373576,0.382688,0.243736,0.12984,2009.13,1968.8,1989.26
3/3/2016,0.320158,0.387352,0.29249,0.027668,1986.51,1891,1986.45
2/25/2016,0.311947,0.373894,0.314159,-0.002212,1946.7,1871.44,1929.8
2/18/2016,0.275605,0.346369,0.378026,-0.102421,1930.68,1810.1,1926.82
2/11/2016,0.192385,0.320641,0.486974,-0.294589,1935.26,1828.46,1851.86
2/4/2016,0.275472,0.377358,0.34717,-0.071698,1947.2,1872.23,1912.53
1/28/2016,0.297535,0.302817,0.399648,-0.102113,1916.99,1812.29,1882.95
1/21/2016,0.21521,0.297735,0.487055,-0.271845,1950.33,1812.29,1859.33
1/14/2016,0.178988,0.365759,0.455253,-0.276265,2021.94,1886.41,1890.28
1/7/2016,0.221739,0.395652,0.382609,-0.16087,2081.56,1979.05,1990.26
12/31/2015,0.250729,0.51312,0.236152,0.014577,2081.56,2005.93,2063.36
12/24/2015,0.263804,0.421268,0.314928,-0.051124,2076.72,1993.26,2064.29
12/17/2015,0.238663,0.367542,0.393795,-0.155132,2080.33,1993.26,2073.07
12/10/2015,0.285057,0.416092,0.298851,-0.013794,2104.27,2036.53,2047.62
12/3/2015,0.294931,0.493088,0.211982,0.082949,2104.27,2070.29,2079.51
11/26/2015,0.323601,0.416058,0.260341,0.06326,2097.06,2051.99,2090.11
11/19/2015,0.307692,0.386813,0.305495,0.002197,2086.94,2019.39,2083.58
11/12/2015,0.342723,0.42723,0.230047,0.112676,2116.48,2068.24,2075
11/5/2015,0.39,0.424,0.186,0.204,2116.48,2058.84,2102.31
10/29/2015,0.403922,0.390196,0.205882,0.19804,2090.35,2017.22,2090.35
10/22/2015,0.347656,0.412109,0.240234,0.107422,2039.12,1990.73,2018.94
10/15/2015,0.340816,0.387755,0.271429,0.069387,2022.34,1971.99,1994.24
10/8/2015,0.375238,0.342857,0.281905,0.093333,1999.31,1871.91,1995.83
10/1/2015,0.281059,0.319756,0.399185,-0.118126,1979.64,1871.91,1884.09
9/24/2015,0.321199,0.391863,0.286938,0.034261,2020.86,1939.19,1966.97
9/17/2015,0.332645,0.376033,0.291322,0.041323,1997.26,1927.3,1995.31
9/10/2015,0.346499,0.303411,0.35009,-0.003591,1988.63,1903.07,1942.04
